Type,Address,Price,Date added,Property Card
semi-detached house for sale,"Fortescue Road, London SW19","£540,000",30/06/2022,ludlowthompson
semi-detached house for sale,"Prospect Place, Wimbledon, London, SW20","£2,495,000",18/07/2022,Savills
house for sale        ,"Alexandra Road, Wimbledon, London, SW19","£2,000,000",04/08/2022,Foxtons
detached house for sale,"Cottenham Park Road, West Wimbledon","£1,999,999",28/07/2022,Dexters
detached house for sale,"Copse Hill, Wimbledon","£1,750,000",09/06/2022,andrew
terraced house for sale,"Denmark Road, Wimbledon Village, London, SW19","£1,700,000",19/07/2022,Savills
terraced house for sale,"Somerset Road, London, SW19","£1,300,000",11/06/2022,Knight
detached house for sale,"Ridgway, Wimbledon, London, SW19","£1,295,000",Added yesterday,Savills
house for sale        ,"Tolvern Road, West Wimbledon, SW20","£1,150,000",18/08/2022,Fuller
house for sale       ,"Dawlish Avenue, London","£1,150,000",21/06/2022,Loney
semi-detached house for sale,"Quintin Avenue, West Wimbledon","£1,150,000",25/07/2022,Dexters
semi-detached house for sale,"Dawlish Avenue II, London SW18","£1,150,000",22/06/2022,The
end of terrace house for sale,"Braemar Avenue, Southfields","£1,100,000",27/08/2022,Kinleigh
semi-detached house for sale,"Amity Grove, West Wimbledon","£1,100,000",11/06/2022,Ellisons
terraced house for sale,"Wolseley Avenue, Wimbledon Park, London, SW19 8BG","£1,100,000",23/08/2022,Kariba
semi-detached house for sale,"Florence Road, Wimbledon","£1,095,000",08/08/2022,Dexters
detached house for sale,"Russell Road, Wimbledon","£1,075,000",27/06/2022,Dexters
semi-detached house for sale,"Cottenham Park Road, Wimbledon, London, SW20","£1,050,000",Added yesterday,Savills
house for sale,"heights Close, West Wimbledon, SW20","£1,000,000",Reduced today,Fuller
terraced house for sale,"Graham Road, London, SW19","£1,000,000",17/08/2022,Lauristons
terraced house for sale,"Church Lane, Merton Park, London, SW19","£985,000",10/08/2022,Hawes
house for sale,"South Park Road, Wimbledon","£975,000",28/02/2022,Dexters
house for sale,"Ravensbury Road, Earlsfield","£975,000",10/08/2022,Jacksons
terraced house for sale,"Carlton Park Avenue, Raynes Park","£900,000",13/08/2022,Ellisons
house for sale ,"Mill Road, Wimbledon","£900,000",12/08/2022,Dexters
semi-detached house for sale,"Oak Park Gardens, Wimbledon, SW19 6AR","£899,950",30/05/2022,Tennison
terraced house for sale,"Sydney Road, Raynes Park","£900,000",26/08/2022,Ellisons
terraced house for sale,"Melbourne Road, Old Merton Park","£900,000",19/08/2022,Ellisons
semi-detached house for sale,"Oak Park Gardens, Wimbledon, SW19 6AR","£899,950",30/05/2022,Tennison
semi-detached house for sale,"Westcoombe Avenue, London","£895,000",28/07/2022,Yopa
end of terrace house for sale,"Meadow Close, Raynes Park","£875,000",16/07/2022,Kinleigh
end of terrace house for sale,"Cannon Close, Raynes Park","£875,000",28/04/2022,Kinleigh
end of terrace house for sale,"Graham Road, Wimbledon, SW19","£875,000",10/08/2022,All
terraced house for sale,"Milton Road, Wimbledon","£875,000",12/07/2022,Dexters
end of terrace house for sale,"Pilsdon Close, SW19","£875,000",11/08/2022,Douglas
house for sale,"Clive Road, Wimbledon","£875,000",25/05/2022,Jacksons
house for sale,"Bronson Road, Raynes Park, SW20","£865,000",16/07/2022,Fuller
house for sale,"Effra Road, Wimbledon","£850,000",29/04/2022,Dexters
